item_number,item_description,pt_current_price,pt_cpl35_price,pt_price_change_pct,standard_pack,inner_qty,master_qty,upc,class_code,class_desc,brand_code,brand_desc,subclass_code,subclass_desc,group_name,is_new_item,pt_price_ca35,pt_price_ca40,vendor,vendor_brand,country,price_type,source_file
W80674,Professional Tubing Bender,10.67,10.67,0.0,1.0,6,24,39564806742.0,4,Specialty Tools,1.0,Performance Tool,37,Brake Lines,,,10.0,9.23,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80675,Precision Tubing Bender,12.02,12.01,0.0,1.0,6,24,39564806759.0,4,Specialty Tools,1.0,Performance Tool,37,Brake Lines,,,11.42,10.54,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80676,Cummins Fuel Filter Socket,5.23,5.22,0.0,1.0,12,72,39564806766.0,5,Maintenance & Repair,1.0,Performance Tool,11,Filter Cap Wrenches,,,5.0,4.61,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80677,Low Profile Oil/Fuel Filter Socket,5.4,5.41,0.0,1.0,12,72,39564806773.0,5,Maintenance & Repair,1.0,Performance Tool,11,Filter Cap Wrenches,,,5.2,4.8,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80678,GM 2.2L Filter Wrench,5.99,5.99,0.0,1.0,12,72,39564806780.0,5,Maintenance & Repair,1.0,Performance Tool,11,Filter Cap Wrenches,,,5.8,5.36,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80679,Replacement Dies for W80670,3.37,3.57,0.0578778135048232,1.0,60,120,39564137341.0,4,Specialty Tools,1.0,Performance Tool,37,Brake Lines,,,3.04,2.8,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80681,VW Drain Plug Socket,3.09,3.22,0.0421052631578947,1.0,12,144,39564806810.0,4,Specialty Tools,1.0,Performance Tool,41,Transmission,,,2.85,2.63,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80682,VW Tamper Proof Drain Plug Socket,3.22,3.35,0.0404040404040402,1.0,12,288,39564806827.0,4,Specialty Tools,1.0,Performance Tool,41,Transmission,,,2.98,2.75,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80683,24mm Low Profile Oil/Fuel Filter Socket,4.23,4.23,0.0,1.0,12,72,39564106934.0,5,Maintenance & Repair,1.0,Performance Tool,11,Filter Cap Wrenches,,,4.01,3.7,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80684,27mm Low Profile Oil/Fuel Filter Socket,4.99,4.99,0.0,1.0,12,72,39564106958.0,5,Maintenance & Repair,1.0,Performance Tool,11,Filter Cap Wrenches,,,4.82,4.45,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80685,Dies Set For W80672 ISO Bubble,4.47,4.69,0.0484261501210654,1.0,50,200,39564014260.0,4,Specialty Tools,1.0,Performance Tool,37,Brake Lines,,,4.13,3.81,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80686,Hand Brake Tubing Bender,3.12,3.12,0.0,1.0,12,96,39564154171.0,4,Specialty Tools,1.0,Performance Tool,37,Brake Lines,,,2.88,2.88,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
